id,name,year,group,status,dob,birthplace,gender,alma_mater,spaceflights,spaceflight_hours,spacewalks,spacewalk_hours,missions
161,Joan E. Higginbotham,1996,16,Retired,08/03/1964,"Chicago, IL",Female,Southern Illinois University-Carbondale,1,308,0,0,STS-116 (Discovery)
162,David C. Hilmers,1980,9,Retired,1/28/1950,"Clinton, IA",Male,Cornell University,4,494,0,0,"ST 51-J (Atlantis), STS-26 (Discovery), STS-36 (Atlantis), STS-42 (Discovery)"
163,Kathryn P. Hire,1995,15,Management,8/26/1959,"Mobile, AL",Female,US Naval Academy,2,711,0,0,"STS-90 (Columbia), STS-130 (Endeavor)"
164,Charles O. Hobaugh,1996,16,Retired,11/05/1961,"Bar Harbor, ME",Male,US Naval Academy,3,873,0,0,"STS-104 (Atlantis), STS-118 (Endeavor), ST-129 (Atlantis)"
165,Jeffrey A. Hoffman,1978,8,Retired,11/02/1944,"Brooklyn, NY",Male,Amherst College,5,1211,4,25,"STS 51-D (Discovery), STS-35 (Columbia), STS-46 (Atlantis), STS-61 (Endeavor), STS-75 (Columbia)"
166,Donald L. Holmquest,1967,6,Retired,04/07/1939,"Dallas, TX",Male,Southern Methodist University,0,0,0,0,
167,Michael S. Hopkins,2009,20,Active,12/28/1968,"Lebanon, MO",Male,University of Illinois,1,3990,2,13,ISS-37/38 (Soyuz)
168,Scott J. Horowitz,1992,14,Retired,3/24/1957,"Philadelphia, PA",Male,California State University-Northridge,4,1137,0,0,"STS-75 (Columbia), STS-82 (Discovery), STS-101 (Atlantis), STS-105 (Discovery)"
169,Millie Hughes-Fulford,1991,13,Retired,12/21/1945,"Mineral Wells, TX",Female,Tarleton State University,1,218,0,0,STS-40 (Columbia)
170,Douglas G. Hurley,2000,18,Active,10/21/1966,"Endicott, NY",Male,Tulane University,2,683,0,0,"STS-127 (Endeavor), STS-135 (Atlantis)"
171,Rick D. Husband,1995,15,Deceased,07/12/1957,"Amarillo, TX",Male,Texas Tech University,2,617,0,0,"STS-96 (Discovery), STS-107 (Columbia)"
172,James B. Irwin,1966,5,Deceased,3/17/1930,"Pittsburgh, PA",Male,US Naval Academy,1,295,3,20,Apollo 15
173,Marsha S. Ivins,1984,10,Retired,4/15/1951,"Baltimore, MD",Female,University of Colorado,5,1341,0,0,"STS-32 (Columbia), STS-46 (Atlantis), STS-62 (Columbia), STS-81 (Atlantis), STS-98 (Atlantis)"
174,Gregory B. Jarvis,1986,11,Deceased,8/24/1944,"Detroit, MI",Male,State University of New York at Buffalo,1,0,0,0,STS 51-L (Challenger)
175,Mae C. Jemison,1987,12,Retired,10/17/1956,"Decatur, AL",Female,Stanford University,1,190,0,0,STS-47 (Endeavor)
176,Tamara E. Jernigan,1985,11,Retired,05/07/1959,"Chattanooga, TN",Female,Stanford University,5,1489,1,8,"STS-40 (Columbia), STS-52 (Columbia), STS-67 (Endeavor), STS-80 (Columbia), STS-98 (Discovery)"
177,Brent W. Jett,1992,14,Retired,10/05/1958,"Pontiac, MI",Male,US Naval Academy,4,1002,0,0,"STS-72 (Endeavor), STS-81 (Atlantis), STS-97 (Endeavor), STS-115 (Atlantis)"
178,Gregory C. Johnson,1998,17,Management,7/30/1954,"Seattle, WA",Male,University of Washington,1,309,0,0,STS-125 (Atlantis)
179,Gregory H. Johnson,1998,17,Active,05/12/1962,"London, England",Male,US Air Force Academy,2,755,0,0,"STS-123 (Endeavor), STS-134 (Endeavor)"
180,Thomas D. Jones,1990,13,Retired,1/22/1955,"Baltimore, MD",Male,US Air Force Academy,4,1272,3,20,"STS-59 (Endeavor), STS-68 (Endeavor), STS-80 (Columbia), STS-98 (Atlantis)"
181,Janet L. Kavandi,1995,15,Management,7/17/1959,"Springfield, MO",Female,Missouri Southern State College,3,812,0,0,"STS-91 (Discovery), STS-99 (Endeavor), STS-104 (Atlantis)"
182,James M. Kelly,1996,16,Management,5/14/1964,"Burlington, IA",Male,US Air Force Academy,2,641,0,0,"STS-102 (Discovery), STS-114 (Discovery)"
183,Mark E. Kelly,1996,16,Retired,2/21/1964,"Orange, NJ",Male,US Merchant Marine Academy,4,1298,0,0,"STS-108 (Endeavor), STS-121 (Discovery), STS-124 (Discovery), STS-134 (Endeavor)"
184,Scott J. Kelly,1996,16,Active,2/21/1964,"Orange, NJ",Male,State University of New York Maritime College,4,12490,3,18,"STS-103 (Discovery), STS-118 (Endeavor), ISS-25/26 (Soyuz), ISS-43/44/45/46 (Soyuz)"
185,Joseph P. Kerwin,1965,4,Retired,2/19/1932,"Oak Park, IL",Male,College of the Holy Cross,1,672,1,3,Skylab 2
186,Susan L. Kilrain (Still),1995,15,Retired,10/24/1961,"Augusta, GA",Female,Embry-Riddle University,2,472,0,0,"STS-83 (Columbia), STS-94 (Columbia)"
187,Robert Shane Kimbrough,2004,19,Active,06/04/1967,"Killeen, TX",Male,US Military Academy,3,3720,4,25,"STS-126 (Endeavor), ISS-49/50 (Soyuz)"
188,Timothy L. Kopra,2000,18,Active,04/09/1963,"Austin, TX",Male,US Military Academy,2,5857,3,13,"STS-127/128 (Endeavor/Discovery), ISS-46/47 (Soyuz)"
189,Kevin R. Kregel,1992,14,Retired,9/16/1956,"New York, NY",Male,US Air Force Academy,4,1265,0,0,"STS-70 (Discovery), STS-78 (Columbia), STS-87 (Columbia), STS-99 (Endeavor)"
190,Wendy B. Lawrence,1992,14,Retired,07/02/1959,"Jacksonville, FL",Female,US Naval Academy,4,1223,0,0,"STS-67 (Endeavor), STS-86 (Atlantis), STS-91 (Discovery), STS-114 (Discovery)"
191,Mark C. Lee,1984,10,Retired,8/14/1952,"Viroqua, WI",Male,US Air Force Academy,4,789,4,26,"STS-30 (Atlantis), STS-47 (Endeavor), STS-64 (Discovery), STS-82 (Discovery)"
192,David C. Leestma,1980,9,Management,05/06/1949,"Muskegon, MI",Male,US Naval Academy,3,532,1,3,"STS 41-G (Challenger), STS-28 (Columbia), STS-45 (Atlantis)"
193,William B. Lenoir,1967,6,Deceased,3/14/1939,"Miami, FL",Male,MIT,1,122,0,0,STS-5 (Columbia)
194,Fred W. Leslie,1995,15,Retired,12/19/1951,"Ancon, Panama",Male,University of Texas,1,381,0,0,STS-73 (Columbia)
195,Byron K. Lichtenberg,1983,10,Retired,2/19/1948,"Stroudsburg, PA",Male,Brown University,2,461,0,0,"STS-9 (Columbia), STS-45 (Atlantis)"
196,Don L. Lind,1966,5,Retired,5/18/1930,"Midvale, UT",Male,University of Utah,1,168,0,0,STS 51-B (Challenger)
197,Kjell N. Lindgren,2009,20,Active,1/23/1973,"Taipei, Taiwan",Male,US Air Force Academy,1,3400,2,15,ISS-44/45 (Soyuz)
198,Steven W. Lindsey,1995,15,Retired,8/24/1960,"Arcadia, CA",Male,US Air Force Academy,5,1510,0,0,"STS-87 (Columbia), STS-95 (Discovery), STS-104 (Atlantis), STS-121 (Discovery), STS-133 (Discovery)"
199,Jerry M. Linenger,1992,14,Retired,1/16/1955,"Mount Clemens, MI",Male,US Naval Academy,2,3435,1,5,"STS-64 (Discovery), STS-81/84 (Atlantis)"
200,Richard M. Linnehan,1992,14,Management,9/19/1957,"Lowell, MA",Male,University of New Hampshire,4,1427,6,43,"STS-78 (Columbia), STS-90 (Columbia), STS-109 (Columbia), STS-123 (Endeavor)"
201,Gregory T. Linteris,1997,17,Retired,10/04/1957,"Demarest, NJ",Male,Princeton University,2,471,0,0,"STS-83 (Columbia), STS-94 (Columbia)"
202,John A. Llewellyn,1967,6,Retired,4/22/1933,"Cardiff, Wales",Male,University College at Cardiff,0,0,0,0,
203,Paul S. Lockhart,1996,16,Retired,4/28/1956,"Amarillo, TX",Male,Texas Tech University,2,663,0,0,"STS-111 (Endeavor), STS-113 (Endeavor)"
204,Michael E. Lopez-Alegria,1992,14,Retired,5/30/1958,"Madrid, Spain",Male,US Naval Academy,3,6190,10,67,"STS-73 (Columbia), STS-92 (Discovery), STS-113 (Endeavor), ISS-14 (Soyuz)"
205,Christopher J. Loria,1996,16,Retired,07/09/1960,"Belmont, MA",Male,US Naval Academy,0,0,0,0,
206,J. Mike Lounge,1980,9,Deceased,6/28/1946,"Denver, CO",Male,US Naval Academy,3,483,0,0,"STS 51-I (Discovery), STS-26 (Discovery), STS-35 (Columbia)"
207,Jack R. Lousma,1966,5,Retired,2/29/1936,"Grand Rapids, MI",Male,University of Michigan,2,1619,2,11,"Skylab 3, STS-3 (Columbia)"
208,Stanley G. Love,1998,17,Management,06/08/1965,"San Diego, CA",Male,Harvey Mudd College,1,306,2,15,STS-122 (Atlantis)
209,James A. Lovell Jr. ,1962,2,Retired,3/25/1928,"Cleveland, OH",Male,US Naval Academy,4,715,0,0,"Gemini 7, Gemini 12, Apollo 8, Apollo 13"
210,G. David Low,1984,10,Deceased,2/19/1956,"Cleveland, OH",Male,Washington & Lee University,3,714,1,6,"STS-32 (Columbia), STS-43 (Atlantis), STS-57 (Endeavor)"
211,Edward T. Lu,1995,15,Retired,07/01/1963,"Springfield, MA",Male,Cornell University,3,4962,1,6,"STS-84 (Atlantis), STS-106 (Atlantis), ISS-07 (Soyuz)"
212,Shannon W. Lucid,1978,8,Retired,1/14/1943,"Shanghai, China",Female,University of Oklahoma,5,5354,0,0,"STS 51-G (Discovery), STS-34 (Atlantis), STS-43 (Atlantis), STS-58 (Columbia), STS-76/79 (Atlantis)"
213,Sandra H. Magnus,1996,16,Retired,10/30/1964,"Belleville, IL",Female,University of Missouri-Rolla,3,3776,0,0,"STS-112 (Atlantis), STS-126/119 (Endeavor/Discovery), STS-135 (Atlantis)"
214,Thomas H. Marshburn,2004,19,Active,8/29/1960,"Statesville, NC",Male,Davidson College,2,3871,4,24,"STS-127 (Endeavor), ISS-34/35 (Soyuz)"
215,Michael J. Massimino,1996,16,Management,8/19/1962,"Oceanside, NY",Male,Columbia University,2,571,4,30,"STS-109 (Columbia), STS-125 (Atlantis)"
216,Richard A. Mastracchio,1996,16,Active,02/11/1960,"Waterbury, CT",Male,University of Connecticut,4,5461,9,53,"STS-106 (Atlantis), STS-118 (Endeavor), STS-131 (Discovery), ISS-38/39 (Soyuz)"
217,Thomas K. Mattingly II ,1966,5,Retired,3/17/1936,"Chicago, IL",Male,Auburn University,3,508,1,1,"Apollo 16, STS-4 (Columbia), STS 51-C (Discovery)"
218,K. Megan McArthur,2000,18,Active,8/30/1971,"Honolulu, HI",Female,University of California-Los Angeles,1,309,0,0,STS-125 (Atlantis)
219,William S. McArthur Jr. ,1990,3,Management,7/26/1951,"Laurinburg, NC",Male,US Military Academy,4,5398,4,24,"STS-58 (Columbia), STS-74 (Atlantis), STS-92 (Discovery), ISS-12 (Soyuz)"
220,S. Christa McAuliffe,1985,11,Deceased,09/02/1948,"Boston, MA",Female,Framingham State College,1,0,0,0,STS 51-L (Challenger)
221,Jon A. McBride,1978,8,Retired,8/14/1943,"Charleston, WV",Male,US Naval Postgraduate School,1,197,0,0,STS 41-G (Challenger)
222,Bruce McCandless II ,1966,5,Retired,06/08/1937,"Boston, MA",Male,US Naval Academy,2,312,2,12,"STS 41-B (Challenger), STS-31 (Discovery)"
223,William C. McCool,1996,16,Deceased,9/23/1961,"San Diego, CA",Male,US Naval Academy,1,382,0,0,STS-107 (Columbia)
224,Michael J. McCulley,1984,10,Retired,08/04/1943,"San Diego, CA",Male,Purdue University,1,119,0,0,STS-34 (Atlantis)
225,James A. McDivitt,1984,2,Retired,06/10/1929,"Chicago, IL",Male,University of Michigan,2,338,0,0,"Gemini 4, Apollo 9"
226,Donald R. McMonagle,1987,12,Retired,5/14/1952,"Flint, MI",Male,US Air Force Academy,3,605,0,0,"STS-39 (Discovery), STS-54 (Endeavor), STS-66 (Atlantis)"
227,Ronald E. McNair,1978,8,Deceased,10/21/1950,"Lake City, SC",Male,North Carolina A&T State College,2,191,0,0,"STS 41-B (Challenger), STS 51-L (Challenger)"
228,Carl J. Meade,1985,11,Retired,11/16/1950,"Chanute Air Force Base, IL",Male,University of Texas,3,712,1,6,"STS-38 (Atlantis), STS-50 (Columbia), STS-64 (Discovery)"
229,Bruce E. Melnick,1987,12,Retired,12/05/1949,"New York, NY",Male,US Coast Guard Academy,2,311,0,0,"STS-41 (Discovery), STS-49 (Endeavor)"
230,Pamela A. Melroy,1995,15,Retired,9/17/1961,"Palo Alto, CA",Female,Wellesley College,3,914,0,0,"STS-92 (Discovery), STS-112 (Atlantis), STS-120 (Discovery)"
231,Leland D. Melvin,1998,17,Management,2/15/1964,"Lynchburg, VA",Male,University of Richmond,2,565,0,0,"STS-122 (Atlantis), STS-129 (Atlantis)"
232,Dorothy M. Metcalf-Lindenberger,2004,19,Active,05/02/1975,"Colorado Springs, CO",Female,Whitman College,1,362,0,0,STS-131 (Discovery)
233,F. Curtis Michel,1965,4,Retired,06/05/1934,"LaCrosse, WI",Male,California Institute of Technology,0,0,0,0,
234,Edgar D. Mitchell,1966,5,Retired,9/17/1930,"Hereford, TX",Male,Carnegie-Mellon University,1,216,2,9,Apollo 14
235,Barbara R. Morgan,1998,17,Retired,11/28/1951,"Fresno, CA",Female,Stanford University,1,305,0,0,STS-118 (Endeavor)
236,Lee M. Morin,1996,16,Management,09/09/1952,"Manchester, NH",Male,University of New Hampshire,1,259,2,14,STS-110 (Atlantis)
237,Richard M. Mullane,1978,8,Retired,09/10/1945,"Wichita Falls, TX",Male,US Military Academy,3,356,0,0,"STS 41-D (Discovery), STS-27 (Atlantis), STS-36 (Atlantis)"
238,Story Musgrave,1967,6,Retired,8/19/1935,"Boston, MA",Male,Syracuse University,6,1281,4,26,"STS-6 (Challenger), STS 51-F (Challenger), STS-33 (Discovery), STS-44 (Atlantis), STS-61 (Endeavor), STS-80 (Columbia)"
239,Steven R. Nagel,1978,8,Retired,10/27/1946,"Canton, IL",Male,University of Illinois,4,721,0,0,"STS 51-G (Discovery), STS 61-A (Challenger), STS-37 (Atlantis), STS-55 (Columbia)"
240,Bill Nelson,1986,11,Retired,9/29/1942,"Miami, FL",Male,Yale University,1,146,0,0,STS 61-C (Columbia)
241,George D. Nelson,1978,8,Retired,7/13/1950,"Charles City, IA",Male,Harvey Mudd College,3,411,2,10,"STS 41-C (Challenger), STS 61-C (Columbia), STS-26 (Discovery)"
242,James H. Newman,1990,13,Retired,10/16/1956,"San Diego, CA",Male,Dartmouth College,4,1042,6,43,"STS-51 (Discovery), STS-69 (Endeavor), STS-88 (Endeavor), STS- 109 (Columbia)"
243,Carlos I. Noriega,1995,15,Retired,10/08/1959,"Lima, Peru",Male,University of Southern California,2,481,3,19,"STS-84 (Atlantis), STS-97 (Endeavor)"
244,Lisa M. Nowak,1996,16,Retired,05/10/1963,"Washington, DC",Female,US Naval Academy,1,306,0,0,STS-121 (Discovery)
245,Karen L. Nyberg,2000,18,Active,10/07/1969,"Parker’s Prairie, MN",Female,University of North Dakota,2,4320,0,0,"STS-124 (Discovery), ISS-36/37 (Soyuz)"
246,Bryan D. O'Connor,1980,9,Retired,09/06/1946,"Orange, CA",Male,US Naval Academy,2,383,0,0,"STS 61-B (Atlantis), STS-40 (Columbia)"
247,Brian T. O'Leary,1967,6,Deceased,1/27/1940,"Boston, MA",Male,Williams College,0,0,0,0,
248,Ellen Ochoa,1990,13,Management,05/10/1958,"Los Angeles, CA",Female,San Diego State University,4,979,0,0,"STS-56 (Discovery), STS-66 (Atlantis), STS-96 (Discovery), STS-110 (Atlantis)"
249,William A. Oefelein,1998,17,Retired,3/29/1965,"Ft. Belvoir, VA",Male,Oregon State University,1,308,0,0,STS-116 (Discovery)
250,John D. Olivas,1998,17,Retired,5/25/1966,"North Hollywood, CA",Male,University of Texas-El Paso,2,665,5,34,"STS-117 (Atlantis), STS-128 (Discovery)"
251,Ellison S. Onizuka,1978,8,Deceased,6/24/1946,"Kealakekua, HI",Male,University of Colorado,2,73,0,0,"STS 51-C (Discovery), STS 51-L (Challenger)"
252,Stephen S. Oswald,1985,11,Retired,6/30/1951,"Seattle, WA",Male,US Naval Academy,3,814,0,0,"STS-42 (Discovery), STS-56 (Discovery), STS-67 (Endeavor)"
253,Robert F. Overmyer,1969,7,Deceased,7/14/1936,"Lorain, OH",Male,Baldwin Wallace College,2,290,0,0,"STS-5 (Columbia), STS 51-B (Challenger)"
254,William A. Pailes,1982,9,Retired,6/26/1952,"Hackensack, NJ",Male,US Air Force Academy,1,97,0,0,STS 51-J (Atlantis)
255,Scott E. Parazynski,1992,14,Retired,7/28/1961,"Little Rock, AR",Male,Stanford University,5,1404,7,47,"STS-66 (Atlantis), STS-86 (Atlantis), STS-95 (Discovery), STS-100 (Endeavor), STS-120 (Discovery)"
256,Ronald A. Parise,1990,13,Deceased,5/24/1951,"Warren, OH",Male,Youngstown State University,2,614,0,0,"STS-35 (Columbia), STS-67 (Endeavor)"
257,Robert A. Parker,1967,6,Retired,12/14/1936,"New York, NY",Male,Amherst College,2,462,0,0,"STS-9 (Columbia), STS-35 (Columbia)"
258,Niclolas J. M. Patrick,1998,17,Retired,3/22/1964,"North Yorkshire, England",Male,University of Cambridge,2,638,3,18,"STS-116 (Discovery), STS-130 (Endeavor)"
259,James A. Pawelczyk,1998,17,Retired,9/20/1960,"Buffalo, NY",Male,University of Rochester,1,381,0,0,STS-90 (Columbia)
260,Gary E. Payton,1985,11,Retired,6/20/1948,"Rock Island, IL",Male,US Air Force Academy,1,73,0,0,STS 51-C (Discovery)
261,Donald H. Peterson,1969,7,Retired,10/22/1933,"Winona, MS",Male,US Military Academy,1,120,1,4,STS-6 (Challenger)
262,Donald R. Pettit,1996,16,Active,4/20/1955,"Silverton, OR",Male,Oregon State University,3,8872,2,13,"ISS-6 (Soyuz), STS-126 (Endeavor), ISS-30/31 (Soyuz)"
263,John L. Phillips,1996,16,Retired,4/15/1951,"Ft. Belvoir, VA",Male,US Naval Academy,3,4880,1,5,"STS-100 (Endeavor), ISS-11 (Soyuz), STS-119 (Discovery)"
264,William R. Pogue,1966,5,Retired,1/23/1930,"Okemah, OK",Male,Oklahoma Baptist University,1,2017,2,13,Skylab 4
265,Alan G. Poindexter,1998,17,Deceased,11/05/1961,"Pasadena, CA",Male,Georgia Institute of Technology,2,669,0,0,"STS-122 (Atlantis), STS-131 (Discovery)"
266,Mark L. Polansky,1996,16,Retired,06/02/1956,"Paterson, NJ",Male,Purdue University,3,995,0,0,"STS-98 (Atlantis), ST-116 (Discovery), STS-127 (Endeavor)"
267,Charles J. Precourt,1990,13,Retired,6/29/1955,"Waltham, MA",Male,US Air Force Academy,4,950,0,0,"STS-55 (Columbia), STS-71 (Atlantis), STS-84 (Atlantis), STS-91 (Discovery)"
268,William F. Readdy,1987,12,Retired,1/24/1952,"Quonset Point, RI",Male,US Naval Academy,3,672,0,0,"STS-42 (Discovery), STS-51 (Discovery), STS-79 (Atlantis)"
269,Kenneth S. Reightler Jr. ,1987,12,Retired,3/24/1951,"Patuxent River, MD",Male,US Naval Academy,2,327,0,0,"STS-48 (Discovery), STS-60 (Discovery)"
270,James F. Reilly II ,1995,15,Retired,3/18/1954,"Mountain Home Air Force Base, ID",Male,University of Texas-Dallas,3,854,5,31,"STS-89 (Endeavor), STS-104 (Atlantis), STS-117 (Atlantis)"
271,Garrett E. Reisman,1998,17,Retired,02/10/1968,"Morristown, NJ",Male,University of Pennsylvania,2,2571,3,21,"STS-123/124 (Endeavor/Discovery), STS-132 (Atlantis)"
272,Judith A. Resnik,1978,8,Deceased,04/05/1949,"Akron, OH",Female,Carnegie-Mellon University,2,144,0,0,"STS 41-D (Discovery), STS 51-L (Challenger)"
273,Paul W. Richards,1996,16,Management,5/20/1964,"Scranton, PA",Male,Drexel University,1,307,1,6,STS-102 (Discovery)
274,Richard N. Richards,1980,9,Retired,8/24/1946,"Key West, FL",Male,University of Missouri,4,813,0,0,"STS-28 (Columbia), STS-41 (Discovery), STS-50 (Columbia), STS-64 (Discovery)"
275,Sally K. Ride,1978,8,Deceased,5/26/1951,"Los Angeles, CA",Female,Stanford University,2,343,0,0,"STS-7 (Challenger), STS 41-G (Challenger)"
276,Patricia Hilliard Robertson,1998,17,Deceased,03/12/1963,"Indiana, PA",Female,Indiana University of Pennsylvania,0,0,0,0,
277,Stephen K. Robinson,1995,15,Retired,10/26/1955,"Sacramento, CA",Male,University of California-Davis,4,1162,3,20,"STS-85 (Discovery), STS-95 (Discovery), STS-114 (Discovery), STS-130 (Endeavor)"
278,Kent V. Rominger,1992,14,Retired,08/07/1956,"Del Norte, CO",Male,Colorado State University,5,1611,0,0,"STS-73 (Columbia), STS-80 (Columbia), STS-85 (Discovery), STS-96 (Discovery), STS-100 (Endeavor)"
279,Stuart A. Roosa,1966,5,Deceased,8/16/1933,"Durango, CO",Male,University of Colorado,1,216,0,0,Apollo 14
280,Jerry L. Ross,1980,9,Retired,1/20/1948,"Crown Point, IN",Male,Purdue University,7,1393,9,58,"ST 61-B (Atlantis), ST-27 (Atlantis), ST-37 (Atlantis), STS-55 (Columbia), STS-74 (Atlantis), STS-88 (Endeavor), STS-110 (Atlantis)"
281,Kathleen Rubins,2009,20,Active,10/14/1978,"Farmington, CT",Female,University of California-San Diego,1,2762,2,13,ISS-48/49 (Soyuz)
282,Mario Runco Jr. ,1987,12,Management,1/26/1952,"Bronx, NY",Male,City College of New York,3,551,0,0,"STS-44 (Atlantis), STS-54 (Endeavor), STS-77 (Endeavor)"
283,Albert Sacco Jr.,1995,15,Retired,05/03/1949,"Boston, MA",Male,Northeastern University,1,381,0,0,STS-73 (Columbia)
284,Robert L. Satcher Jr. ,2004,19,Retired,9/22/1965,"Hampton, VA",Male,MIT,1,259,2,12,STS-129 (Atlantis)
285,Walter M. Schirra Jr. ,1959,1,Deceased,03/12/1923,"Hackensack, NJ",Male,US Naval Academy,3,295,0,0,"Mercury 8, Gemini 6, Apollo 7"
286,Harrison H. Schmitt,1965,4,Retired,07/03/1935,"Santa Rita, NM",Male,California Institute of Technology,1,301,3,22,Apollo 17
287,Russell L. Schweickart,1963,3,Retired,10/25/1935,"Neptune, NJ",Male,MIT,1,241,1,1,Apollo 9
288,Francis R. Scobee,1978,8,Deceased,5/19/1939,"Cle Elum, WA",Male,University of Arizona,2,167,0,0,"STS 41-C (Challenger), STS 51-L (Challenger)"
289,David R. Scott,1963,3,Retired,06/06/1932,"San Antonio, TX",Male,US Military Academy,3,546,4,19,"Gemini 8, Apollo 9, Apollo 15"
290,Winston E. Scott,1992,14,Retired,08/06/1950,"Miami, FL",Male,Florida State University,2,590,3,19,"STS-72 (Endeavor), STS-87 (Columbia)"
291,Paul D. Scully-Power,1984,10,Retired,5/28/1944,"Sydney, Australia",Male,University of Sydney,1,197,0,0,STS 41-G (Challenger)
292,Richard A. Searfoss,1990,13,Retired,06/05/1956,"Mount Clemens, MI",Male,US Air Force Academy,3,939,0,0,"STS-58 (Columbia), STS-76 (Atlantis), STS-90 (Columbia)"
293,Margaret Rhea Seddon,1978,8,Retired,11/08/1947,"Murfreesboro, TN",Female,University of California-Berkeley,3,722,0,0,"STS 51-D (Discovery), STS-40 (Columbia), STS-58 (Columbia)"
294,Elliot M. See Jr. ,1962,2,Deceased,7/23/1927,"Dallas, TX",Male,US Merchant Marine Academy,0,0,0,0,
295,Ronald M. Sega,1990,13,Retired,12/04/1952,"Cleveland, OH",Male,US Air Force Academy,2,420,0,0,"STS-60 (Discovery), STS-76 (Atlantis)"
296,Piers J. Sellers,1996,16,Management,04/11/1955,"Crowborough, England",Male,University of Edinburgh,3,839,6,41,"STS-112 (Atlantis), STS-121 (Discovery), STS-132 (Atlantis)"
297,Brewster H. Shaw Jr. ,1978,8,Retired,5/16/1945,"Cass City, MI",Male,University of Wisconsin,3,533,0,0,"STS-9 (Columbia), STS 61-B (Atlantis), STS-28 (Columbia)"
298,Alan B. Shepard Jr. ,1959,1,Deceased,11/18/1923,"East Derry, NH",Male,US Naval Academy,2,216,2,9,"Mercury 3, Apollo 14"
299,William M. Shepherd,1984,10,Retired,7/26/1949,"Oak Ridge, TN",Male,US Naval Academy,4,3823,0,0,"STS-37 (Atlantis), STS-41 (Discovery), STS-52 (Columbia), ISS-01/STS-102 (Soyuz/Discovery)"
300,Loren J. Shriver,1978,8,Retired,9/23/1944,"Jefferson, IA",Male,US Air Force Academy,3,386,0,0,"STS 51-C (Discovery), STS-31 (Discovery), STS-46 (Atlantis)"
301,Donald K. Slayton,1959,1,Deceased,03/01/1924,"Sparta, WI",Male,University of Minnesota,1,217,0,0,Apollo-Soyuz Test Project
302,Michael J. Smith,1980,9,Deceased,4/30/1945,"Beaufort, NC",Male,US Naval Academy,1,0,0,0,STS 51-L (Challenger)
303,Steven L. Smith,1992,14,Management,12/30/1958,"Phoenix, AZ",Male,Stanford University,4,960,7,49,"STS-68 (Endeavor), STS-82 (Discovery), STS-103 (Discovery), STS-110 (Atlantis)"
304,Sherwood C. Spring,1980,9,Retired,9/23/1944,"Hartford, CT",Male,US Military Academy,1,165,2,12,STS 61-B (Atlantis)
305,Robert C. Springer,1980,9,Retired,5/21/1942,"St. Louis, MO",Male,US Naval Academy,2,237,0,0,"STS-29 (Discovery), STS-38 (Atlantis)"
306,Thomas P. Stafford,1962,2,Retired,9/17/1930,"Weatherford, OK",Male,US Naval Academy,4,507,0,0,"Gemini 6, Gemini 9, Apollo 10, Apollo-Soyuz Test Project"
307,Heidemarie M. Stefanyshyn-Piper,1996,16,Retired,02/07/1963,"St. Paul, MN",Female,MIT,2,663,2,33,"STS-115 (Atlantis), STS-126 (Endeavor)"
308,Robert L. Stewart,1978,8,Retired,8/13/1942,"Washington, DC",Male,University of Southern Mississippi,2,289,2,12,"STS 41-B (Challenger), STS 51-J (Atlantis)"
309,Nicole P. Stott,2000,18,Active,11/19/1962,"Albany, NY",Female,Embry-Riddle Aeronautical University,2,2477,1,6,"STS-128/129 (Discovery/Atlantis), STS-133 (Discovery)"
310,Frederick W. Sturckow,1995,15,Retired,08/11/1961,"La Mesa, CA",Male,California Polytechnic State University,4,1233,0,0,"STS-88 (Endeavor), STS-105 (Discovery), STS-117 (Atlantis), STS-128 (Discovery)"
311,Kathryn D. Sullivan,1978,8,Retired,10/03/1951,"Patterson, NJ",Female,University of California-Santa Cruz,3,532,1,3,"STS 41-G (Challenger), STS-31 (Discovery), STS-45 (Atlantis)"
312,Steven R. Swanson,1998,17,Active,12/03/1960,"Syracuse, NY",Male,University of Colorado,3,4700,5,28,"STS-117 (Atlantis), STS-119 (Discovery), ISS-39/40 (Soyuz)"
313,John L. Swigert Jr. ,1966,5,Deceased,8/30/1931,"Denver, CO",Male,University of Colorado,1,142,0,0,Apollo 13
314,Daniel M. Tani,1996,16,Retired,02/01/1961,"Ridley Park, PA",Male,MIT,2,3162,6,39,"STS-108 (Endeavor), STS-120/122 (Discovery/Atlantis)"
315,Joseph R. Tanner,1992,14,Retired,1/21/1950,"Danville, IL",Male,University of Illinois,4,1045,7,46,"STS-66 (Atlantis), STS-82 (Discovery), STS-97 (Endeavor), STS-115 (Discovery)"
316,Norman E. Thagard,1978,8,Retired,07/03/1943,"Marianna, FL",Male,Florida State University,5,3373,0,0,"STS-7 (Challenger), STS 51-B (Challenger), STS-30 (Atlantis), STS-42 (Discovery), STS-71 (Soyuz/Atlantis)"
317,Andrew S. W. Thomas,1992,14,Management,12/18/1951,"Adelaide, Australia",Male,University of Adelaide,4,4257,1,6,"STS-77 (Endeavor), STS-89/91 (Endeavor/Discovery), STS-102 (Discovery), STS-114 (Discovery)"
318,Donald A. Thomas,1990,13,Retired,05/06/1955,"Cleveland, OH",Male,Case Western Reserve University,4,1040,0,0,"STS-65 (Columbia), STS-70 (Discovery), STS-83 (Columbia), STS-94 (Columbia)"
319,Stephen D. Thorne,1985,11,Deceased,02/11/1953,"Frankfurt, West Germany",Male,US Naval Academy,0,0,0,0,
